"word","decade","valence","arousal","dominance"
"flu","179","5.30846153846154","3.89846153846154","4.87307692307692"
"flu","180","5.30697674418605","4.06511627906977","5.38418604651163"
"flu","181","5.64545454545455","4.09818181818182","5.68363636363636"
"flu","182","5.8225","4.5525","5.4875"
"flu","183","4.64375","3.7725","5.18"
"flu","184","4.775","3.80875","5.18875"
"flu","185","5.17444444444444","3.67666666666667","5.07666666666667"
"flu","186","4.49166666666667","3.72666666666667","5.025"
"flu","187","5.204","3.12","5.248"
"flu","188","4.69875","3.51625","4.91125"
"flu","189","4.78875","3.73875","4.93375"
"flu","190","4.47125","3.91125","4.725"
"flu","191","4.79769230769231","3.73461538461538","4.98615384615385"
"flu","192","4.5264","4.1","4.972"
"flu","193","4.55833333333333","4.45666666666667","5.23833333333333"
"flu","194","4.47307692307692","3.52461538461538","4.67461538461539"
"flu","195","4.27666666666667","4.07555555555556","4.75222222222222"
"men","179","5.03813953488372","4.25837209302326","5.20697674418605"
"men","180","5.34677419354839","4.18709677419355","5.29935483870968"
"men","181","5.22294117647059","4.47441176470588","5.32911764705882"
"men","182","5.41527777777778","4.14444444444444","5.34722222222222"
"men","183","5.90111111111111","4.214","5.71244444444444"
"men","184","5.59125","4.19825","5.49525"
"men","185","5.9672972972973","4.09621621621622","5.67756756756757"
"men","186","5.78945945945946","4.36189189189189","5.58108108108108"
"men","187","5.83911764705882","4.075","5.68205882352941"
"men","188","5.65592592592593","3.99148148148148","5.56333333333333"
"men","189","5.39923076923077","4.015","5.43307692307692"
"men","190","5.49461538461538","3.94","5.50153846153846"
"men","191","5.58645161290323","3.87645161290323","5.49935483870968"
"men","192","5.78272727272727","3.94454545454545","5.62848484848485"
"men","193","5.79342105263158","3.83315789473684","5.67526315789474"
"men","194","5.867","3.99","5.755"
"men","195","5.87285714285714","4.00020408163265","5.75408163265306"
"peace","179","5.5878","4.2988","5.5424"
"peace","180","5.665","4.3635","5.5825"
"peace","181","5.51333333333333","4.25358974358974","5.47717948717949"
"peace","182","6.38271186440678","4.45203389830508","6.01525423728814"
"peace","183","5.81853333333333","4.3008","5.7008"
"peace","184","5.65657534246575","4.15082191780822","5.71684931506849"
"peace","185","5.33970588235294","4.09720588235294","5.56235294117647"
"peace","186","5.87535211267606","4.25943661971831","5.76760563380282"
"peace","187","5.29294117647059","4.25632352941176","5.46941176470588"
"peace","188","5.02147540983607","4.12344262295082","5.29229508196721"
"peace","189","4.7795","4.23933333333333","5.18716666666667"
"peace","190","4.72950819672131","4.32131147540984","5.10032786885246"
"peace","191","5.25296296296296","4.21037037037037","5.395"
"peace","192","5.7022","4.1922","5.7316"
"peace","193","5.53037735849057","4.33528301886792","5.47867924528302"
"peace","194","5.48979591836735","4.48938775510204","5.51"
"peace","195","5.99659574468085","4.12617021276596","5.83340425531915"
"poverty","179","4.98333333333333","4.22428571428571","5.20047619047619"
"poverty","180","4.76827586206897","4.3248275862069","4.89758620689655"
"poverty","181","5.10827586206897","4.39965517241379","5.07568965517241"
"poverty","182","5.33985915492958","4.41408450704225","5.28478873239437"
"poverty","183","5.47406779661017","4.42016949152542","5.39"
"poverty","184","5.10257142857143","4.40657142857143","5.27057142857143"
"poverty","185","4.95705882352941","4.51485294117647","5.28970588235294"
"poverty","186","4.88569230769231","4.62953846153846","5.36615384615385"
"poverty","187","4.91058823529412","4.59823529411765","5.19955882352941"
"poverty","188","5.19176470588235","4.44779411764706","5.35485294117647"
"poverty","189","5.27346153846154","4.47410256410256","5.39076923076923"
"poverty","190","5.10231884057971","4.45376811594203","5.34463768115942"
"poverty","191","4.32081967213115","4.52573770491803","4.9672131147541"
"poverty","192","4.45803278688525","4.61491803278689","4.87819672131148"
"poverty","193","4.05014705882353","4.65382352941176","4.77426470588235"
"poverty","194","4.60403846153846","4.34384615384615","5.05"
"poverty","195","4.38509090909091","4.61","4.814"
"war","179","5.24736842105263","4.34421052631579","5.25868421052632"
"war","180","5.422","4.179","5.46433333333333"
"war","181","5.35382352941176","4.46941176470588","5.41588235294118"
"war","182","5.27685714285714","4.35457142857143","5.32514285714286"
"war","183","4.60666666666667","3.86555555555556","5.07333333333333"
"war","184","4.76","3.818","5.105"
"war","185","4.83272727272727","3.72818181818182","5.21909090909091"
"war","186","4.80473684210526","3.97526315789474","5.2178947368421"
"war","187","4.56","3.73833333333333","5.03666666666667"
"war","188","4.56","3.73833333333333","5.03666666666667"
"war","189","4.50923076923077","3.74923076923077","5.03"
"war","190","4.4325","3.73416666666667","5.03916666666667"
"war","191","4.47866666666667","3.77733333333333","4.958"
"war","192","5.5754347826087","4.20086956521739","5.45130434782609"
"war","193","5.70666666666667","4.08214285714286","5.43047619047619"
"war","194","5.35647058823529","4.57372549019608","5.50490196078431"
"war","195","4.32571428571429","4.02357142857143","4.92357142857143"
"women","179","6.15756097560976","4.34292682926829","5.85975609756098"
"women","180","5.8301724137931","3.75275862068966","5.58775862068966"
"women","181","5.98589285714286","4.03285714285714","5.71803571428571"
"women","182","6.00021739130435","4.17934782608696","5.66565217391304"
"women","183","5.51829268292683","4.31756097560976","5.46317073170732"
"women","184","5.24448979591837","4.39244897959184","5.17959183673469"
"women","185","6.3258","4.5768","5.6996"
"women","186","5.70279069767442","4.35651162790698","5.33581395348837"
"women","187","5.99452380952381","4.27190476190476","5.71761904761905"
"women","188","5.77804878048781","4.32243902439024","5.76585365853659"
"women","189","5.9746511627907","4.24627906976744","5.88674418604651"
"women","190","5.94282608695652","4.21869565217391","5.98478260869565"
"women","191","6.3878","4.1426","6.16"
"women","192","6.19125","4.10675","5.9675"
"women","193","6.26021276595745","4.14765957446809","5.81340425531915"
"women","194","5.93041666666667","4.08604166666667","5.80875"
"women","195","5.85818181818182","4.07945454545455","5.70472727272727"

